features,node id,f2,f2 imp,precision,recall,size,min val1,max val1,min val2,max val2
Volume Flow RateRMS,3,0.21311475409836064,0.16561423650975893,1.0,0.1780821917808219,16.276477146042364,23.068849563598633,28.985349655151367,-1000.0,inf
Accelerometer1RMS-Volume Flow RateRMS,3,0.21311475409836064,0.16561423650975893,1.0,0.1780821917808219,16.276477146042364,-1000.0,inf,23.068849563598633,28.985349655151367
Accelerometer2RMS-Volume Flow RateRMS,9,0.2046783625730994,0.1648453285523208,1.0,0.17073170731707318,15.997770345596432,-1000.0,inf,26.99934959411621,28.985349655151367
Thermocouple-Volume Flow RateRMS,9,0.1736420302760463,0.1630841250934878,1.0,0.14391143911439114,15.105908584169454,24.501249313354492,inf,23.068849563598633,28.985349655151367
Voltage-Volume Flow RateRMS,4,0.1909722222222222,0.16179599149031465,1.0,0.1588447653429603,15.44035674470457,-1000.0,250.52550506591797,23.068849563598633,28.985349655151367
Current-Volume Flow RateRMS,11,0.21175453759723423,0.15402843601895744,1.0,0.17689530685920576,15.44035674470457,0.48009249567985535,inf,26.99934959411621,28.985349655151367
Temperature-Volume Flow RateRMS,11,0.14427860696517414,0.15019263982994557,1.0,0.11885245901639344,13.600891861761427,66.60834884643555,inf,23.068849563598633,28.985349655151367
Pressure-Volume Flow RateRMS,10,0.22580645161290322,0.10994560994560998,1.0,0.1891891891891892,12.37458193979933,-1000.0,inf,26.99934959411621,28.970099449157715
Temperature-Thermocouple,22,0.3442028985507246,0.06272536057692313,0.2688679245283019,0.37012987012987014,18.729096989966553,66.00180053710938,68.23989868164062,24.486550331115723,inf
Current-Temperature,16,0.06067961165048544,0.06097829922371212,0.15625,0.05263157894736842,14.102564102564102,-1000.0,0.7700405120849609,68.00329971313477,69.1001968383789
Temperature,14,0.2289156626506024,0.0414413420152302,0.17757009345794392,0.24675324675324675,11.817168338907468,67.68564987182617,68.00329971313477,-1000.0,inf
Accelerometer1RMS-Temperature,14,0.2289156626506024,0.0414413420152302,0.17757009345794392,0.24675324675324675,11.817168338907468,-1000.0,inf,67.68564987182617,68.00329971313477
Accelerometer2RMS-Temperature,17,0.15942028985507245,0.040517148112084844,0.44,0.1375,19.39799331103679,0.04035410098731518,inf,68.00329971313477,69.1001968383789
Accelerometer2RMS,7,0.4136690647482014,0.027143908722856103,0.4791666666666667,0.4,18.561872909698995,0.03773234970867634,0.039392950013279915,-1000.0,inf
Accelerometer2RMS-Current,5,0.444947209653092,0.027031201729996956,0.5315315315315315,0.427536231884058,17.391304347826086,-1000.0,0.04014505073428154,-1000.0,0.8629634976387024
Accelerometer1RMS-Current,12,0.46808510638297873,0.024015890213073376,0.528,0.45517241379310347,19.39799331103679,0.02671639993786812,0.027538000606000423,-1000.0,0.8351964950561523
Thermocouple,28,0.2692307692307692,0.02197802197802201,0.3888888888888889,0.25,5.629877369007804,24.526599884033203,24.567599296569824,-1000.0,inf
Pressure-Thermocouple,28,0.2692307692307692,0.02197802197802201,0.3888888888888889,0.25,5.629877369007804,-1000.0,inf,24.526599884033203,24.567599296569824
Accelerometer2RMS-Thermocouple,26,0.35353535353535354,0.018414142061103034,0.42857142857142855,0.3387096774193548,5.852842809364549,0.03836974874138832,0.04142509959638119,24.526599884033203,24.57730007171631
Accelerometer1RMS-Thermocouple,23,0.38095238095238093,0.017219182491149065,0.47058823529411764,0.36363636363636365,6.465997770345597,0.02653674967586994,inf,24.526599884033203,24.57730007171631
Current-Thermocouple,30,0.3873239436619718,0.01489108236895853,0.4583333333333333,0.3728813559322034,5.964325529542921,0.5230244994163513,1.446619987487793,24.526599884033203,24.57730007171631
Thermocouple-Voltage,31,0.38306451612903225,0.013164546297076418,0.475,0.36538461538461536,4.96098104793757,24.526599884033203,24.57730007171631,225.11199951171875,inf
Accelerometer1RMS,2,0.14563106796116504,0.011699519863860197,0.2,0.13636363636363635,2.6755852842809364,-1000.0,0.02671639993786812,-1000.0,inf
Accelerometer1RMS-Pressure,3,0.10638297872340426,0.011621326650228414,0.14285714285714285,0.1,2.3968784838350055,-1000.0,0.02671639993786812,-1000.0,0.21867450326681137
Accelerometer1RMS-Accelerometer2RMS,23,0.3964757709251101,0.0111520660118537,0.5142857142857142,0.375,6.521739130434782,0.027587749995291233,inf,-1000.0,0.03962480090558529
